BROKERTITLE,TYPE,PRICE,BEDS,BATH,ADDRESS,STATE,LOCALITY,SUBLOCALITY,STREET_NAME
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,4595000,4,4,619 E 6th St Unit 1,"New York, NY 10009",New York County,New York,Manhattan
Brokered by 5 Boro Realty Corp,Co-op for sale,475000,1,1,213 Eastern Pkwy Apt 2,"Brooklyn, NY 11238",Kings County,Brooklyn,Crown Heights
Brokered by Progress Realty Inc.,Co-op for sale,189000,2,1,756 Brady Ave Apt 307,"Bronx, NY 10462",Bronx County,The Bronx,East Bronx
Brokered by First Class Realty Enterprises,House for sale,998888,4,3,115-04 144th St,"Jamaica, NY 11436",New York,Queens County,Queens
Brokered by Reserve,Co-op for sale,32000000,4,6,383 W Broadway,"New York, NY 10012",New York,New York County,New York
Brokered by Exp Realty,Multi-family home for sale,3250000,6,4,68 Clifton Pl,"Brooklyn, NY 11238",New York,Kings County,Brooklyn
Brokered by Berkshire Hathaway HomeServices Cangiano Estates,Multi-family home for sale,769000,7,2,222 Gordon St,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by Exp Realty,House for sale,648998,3,2,1361 Waring Ave,"Bronx, NY 10469",New York,Bronx County,The Bronx
Brokered by TOP NEST INC,House for sale,1699900,7,5,186 Covert St,"Brooklyn, NY 11207",New York,Kings County,Brooklyn
Brokered by Corcoran Brooklyn Heights,Pending,3250000,8,5,1123 Albemarle Rd,"Brooklyn, NY 11218",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - Bayside,Co-op for sale,395250,1,1,31-85 Crescent St Unit 410,"Astoria, NY 11106",Queens County,Queens,Astoria
Brokered by Heisman Realty LLC,House for sale,539000,3,2,84 Nautilus St,"Staten Island, NY 10305",New York,Richmond County,Staten Island
Brokered by Daniel Gale of Brooklyn LLC,Townhouse for sale,1348000,5,2,46-03 104 St,"Queens, NY 11368",New York,Queens County,Queens
Brokered by Canaan Realty International,Condo for sale,1450000,3,3,40-26 College Point Blvd Unit 18F,"Flushing, NY 11354",Queens County,Queens,Flushing
Brokered by EXP Realty,Co-op for sale,465000,2,1,37-50 87th St Unit 6B,"Jackson Heights, NY 11372",New York,Queens County,Queens
Brokered by Keller Williams Legendary,Condo for sale,6500000,2,2,1600 Broadway Ph 4C,"New York, NY 10019",New York County,New York,Manhattan
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,297000,1,1,102-36 64 Ave Unit 4A,"Forest Hills, NY 11375",Queens County,Queens,Forest Hills
Brokered by Miller & Miller Real Estate,Co-op for sale,244900,1,1,260-46 73rd Ave Unit A1,"Glen Oaks, NY 11004",Queens County,Queens,Glen Oaks
Brokered by E Realty International Corp,House for sale,2480000,4,4,149-37 9th Ave,"Whitestone, NY 11357",New York,Queens County,Queens
Brokered by Coldwell Banker Kueber Realty,Co-op for sale,230000,1,1,108-50 62 Dr Unit 3K,"Forest Hills, NY 11375",Queens County,Queens,Flushing
Brokered by Corcoran Brooklyn Heights,Condo for sale,780000,2,2,618 Avenue H # 5E,"Brooklyn, NY 11230",New York,Kings County,Brooklyn
Brokered by Corcoran Chelsea/Flatiron,Townhouse for sale,4875000,3,3,130 E 38th St,"New York, NY 10016",New York,New York County,New York
Brokered by COMPASS,Co-op for sale,539999,3,2,33-04 93rd St Unit 6S,"Jackson Heights, NY 11372",Queens County,Queens,Jackson Heights
Brokered by COMPASS,Co-op for sale,750000,2,2,2621 Palisade Ave Apt 16A,"Bronx, NY 10463",Bronx County,The Bronx,Spuyten Duyvil
Brokered by The Agency,Condo for sale,2249000,2,3,211 Madison Ave Unit 22A,"New York, NY 10016",New York County,New York,Manhattan
Brokered by Tapestry Real Estate of Queens,Co-op for sale,270000,2,1,21-78 35 St Unit 5F,"Astoria, NY 11101",Queens County,Queens,Astoria
Brokered by Sotheby's International Realty - Downtown Manhattan,Pending,399000,2,1,301 E 63rd St Apt 4B,"New York, NY 10065",New York County,New York,Manhattan
Brokered by COMPASS,Co-op for sale,1950000,2,2,56 Jane St Unit 4EF,"Manhattan, NY 10014",New York County,New York,Manhattan
Brokered by Macaluso Realty,Co-op for sale,240000,2,1,83-85 Woodhaven Blvd Unit 2S,"Woodhaven, NY 11421",Queens County,Queens,Woodhaven
Brokered by Century Homes Realty Group LLC,Condo for sale,628000,3,2,82-25 Queens Blvd Unit 3D,"Elmhurst, NY 11373",Queens County,Queens,Elmhurst
Brokered by COMPASS,Co-op for sale,399000,2,1,34-10 94th St Unit 2D,"Jackson Heights, NY 11372",Queens County,Queens,Flushing
Brokered by J Home Realty LLC,House for sale,687000,2,1,57 Shore Dr,"Bronx, NY 10465",New York,Bronx County,The Bronx
Brokered by Re/Max Edge,Townhouse for sale,588000,2,2,19 Teri Ct,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by Citywide Homes Llc,Multi-family home for sale,825000,5,3,1221 Manor Ave,"Bronx, NY 10472",New York,Bronx County,The Bronx
Brokered by Han Tang Realty Inc.,Condo for sale,285000,2,1,1527 Metropolitan Ave Apt 4G,"Bronx, NY 10462",Bronx County,The Bronx,Parkchester
Brokered by COMPASS,Condo for sale,595000,3,1,609 Myrtle Ave Unit CF1,"Brooklyn, NY 11205",Kings County,Brooklyn,Bedford-Stuyvesant
Brokered by Continental Real Estate Group,Condo for sale,899000,2,2,90 Bay Street Lndg Apt 5I,"Staten Island, NY 10301",Richmond County,Staten Island,Mid Island
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,2995000,5,2,234 W 138th St,"New York, NY 10030",New York,New York County,New York
Brokered by E Realty International Corp,House for sale,1180000,4,3,73-27 193rd St,"Fresh Meadows, NY 11366",New York,Queens County,Queens
Brokered by Century 21 Zaloom Realty,Contingent,799900,4,4,71 Dewey Ave,"Staten Island, NY 10308",New York,Richmond County,Staten Island
"Brokered by Virginia Rallis, Realty LLC",Co-op for sale,130000,1,1,5 Fordham Hill Oval Apt 11H,"Bronx, NY 10468",Bronx County,The Bronx,Fordham Manor
Brokered by Astor Brokerage Ltd,House for sale,849999,3,2,147-20 76th Rd,"Flushing, NY 11367",New York,Queens County,Queens
Brokered by Compass,Co-op for sale,185000,1,1,3123 Bailey Ave Unit A,"Bronx, NY 10463",New York,Bronx County,The Bronx
"Brokered by Robert Defalco Realty, Inc.",Multi-family home for sale,2798000,5,3,1603 11th Ave,"Brooklyn, NY 11215",New York,Kings County,Brooklyn
Brokered by Getmore Realty Inc,Co-op for sale,359000,2,1,141-09 28 Ave Unit 1D,"Flushing, NY 11354",Queens County,Queens,Flushing
Brokered by COMPASS,Pending,435000,1,1,155 Hicks St Unit 5A,"Brooklyn, NY 11201",Kings County,Brooklyn,Brooklyn Heights
Brokered by E Realty International Corp,House for sale,988000,3,1,43-64 Bowne St,"Flushing, NY 11355",New York,Queens County,Queens
Brokered by COMPASS,Co-op for sale,800000,1,1,324 E 41st St Unit 1101C,"Manhattan, NY 10017",New York County,New York,Manhattan
Brokered by Redfin Real Estate,Co-op for sale,400000,2,1,34-49 81st St Unit 5Y,"Jackson Heights, NY 11372",Queens County,Queens,Jackson Heights
Brokered by Core Realty Family,Multi-family home for sale,965000,5,3,1027 Ward Ave,"Bronx, NY 10472",New York,Bronx County,The Bronx
Brokered by BERGEN BASIN REALTY,Multi-family home for sale,1389000,5,2,3824 Quentin Rd,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by Howard Hanna | Rand Realty,Condo for sale,525000,3,2,170 Mermaid Ln Unit 270,"Bronx, NY 10473",Bronx County,The Bronx,Clason Point
Brokered by Charles H. Greenthal Property,Pending,289000,1,2,27110 Grand Central Pkwy Apt 1O,"Floral Park, NY 11005",Queens County,Queens,Queens Village
Brokered by Corcoran East Side,Multi-family home for sale,10000000,7,8,35 W 11th St,"New York, NY 10011",New York,New York County,New York
Brokered by Keller Williams Realty Greater Nassau,Co-op for sale,279000,2,1,73-22 220th St Unit Upper,"Bayside, NY 11364",New York,Queens County,Queens
Brokered by RITZ REALTY NY CORP.,Multi-family home for sale,1850000,3,4,6704 21st Ave,"Brooklyn, NY 11204",New York,Kings County,Brooklyn
Brokered by Weichert Realtors The Franzese Group,Multi-family home for sale,2599000,11,6,2061 49th St,"Astoria, NY 11105",New York,Queens County,Queens
Brokered by Douglas Elliman - 325 Court,Co-op for sale,250000,1,1,1250 Ocean Pkwy Apt 3J,"Brooklyn, NY 11230",Kings County,Brooklyn,Midwood
Brokered by Corcoran Park Slope,Co-op for sale,2250000,3,2,120 Prospect Park W # 2,"Brooklyn, NY 11215",New York,Kings County,Brooklyn
Brokered by Chase Global Realty Corp,Multi-family home for sale,1800000,9,7,23-16 36th St,"Astoria, NY 11105",New York,Queens County,Queens
Brokered by BUZZ REALTY,Co-op for sale,350000,3,2,1200 E 53rd St Apt 4X,"Brooklyn, NY 11234",Kings County,Brooklyn,Flatlands
Brokered by Continental Real Estate Grp In,House for sale,1649000,4,3,927 Hart St,"Brooklyn, NY 11237",New York,Kings County,Brooklyn
Brokered by Corcoran Park Slope,Pending,1395000,2,2,357 6th Ave Apt 1,"Brooklyn, NY 11215",Kings County,Brooklyn,Park Slope
Brokered by Charles Rutenberg Realty Inc,House for sale,1370000,6,3,85-65 159th St,"Jamaica, NY 11432",New York,Queens County,Queens
Brokered by Listed New York Elite Inc,Co-op for sale,360000,2,1,128 W 138th Unit 1I,"New York, NY 10030",New York County,New York,Manhattan
Brokered by ANNE - Anne Weintraub,Co-op for sale,1050000,1,1,1 Fifth Ave Unit 10K,"New York, NY 10003",New York,Manhattan,5th Avenue
Brokered by COMPASS,Condo for sale,2200000,2,2,32 E 76th St Apt 805,"Manhattan, NY 10021",New York County,New York,Manhattan
Brokered by COMPASS,Townhouse for sale,7850000,5,4,128 E 19th St,"Manhattan, NY 10003",New York,New York County,New York
Brokered by COMPASS,Multi-family home for sale,4999000,8,5,458 W 51st St,"Manhattan, NY 10019",New York,New York County,New York
Brokered by Corcoran West Side Gallery,Pending,299000,3,1,465 W 57th St Apt 3B,"New York, NY 10019",New York County,New York,Manhattan
Brokered by EXIT REALTY FIRST CHOICE,House for sale,1578000,5,3,67-27 181st St,"Fresh Meadows, NY 11365",New York,Queens County,Queens
Brokered by Skylight Real Estate Consultan,House for sale,715000,3,2,194-11 112th Ave,"Saint Albans, NY 11412",New York,Queens County,Queens
Brokered by COMPASS,Townhouse for sale,600000,3,1,40 Somers St Unit 2,"Brooklyn, NY 11233",Kings County,Brooklyn,Ocean Hill
Brokered by NextHome Prestige,House for sale,850000,3,2,101 Dalemere Rd,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by Serhant,Condo for sale,1949000,2,2,277 E 7th St Apt 2,"New York, NY 10009",New York County,New York,Manhattan
"Brokered by NEUHAUS REALTY, INC.",Multi-family home for sale,1599999,5,4,160 Rathbun Ave Unit A,"Staten Island, NY 10312",New York,Richmond County,Staten Island
Brokered by Weichert Realtors Evolution Group,House for sale,640000,3,2,58 Elmwood Ave,"Staten Island, NY 10308",New York,Richmond County,Staten Island
"Brokered by Homes R Us Realty of NY, Inc.",Contingent,799900,3,4,59 Park Pl,"Staten Island, NY 10301",New York,Richmond County,Staten Island
Brokered by COMPASS,Pending,1599000,6,4,33-17 85th St,"Jackson Heights, NY 11372",New York,Queens County,Queens
Brokered by eXp Realty NYC,Contingent,695000,3,1,217 E 5th St Apt 8,"New York, NY 10003",New York County,New York,Manhattan
Brokered by Robert Defalco Realty Inc.,Contingent,740000,3,2,391 Fingerboard Rd,"Staten Island, NY 10305",New York,Richmond County,Staten Island
Brokered by JABOUR REALTY COMPANY,Co-op for sale,329000,1,1,9902 3rd Ave Apt 2E,"Brooklyn, NY 11209",Kings County,Brooklyn,Fort Hamilton
Brokered by Exp Realty,Multi-family home for sale,750000,4,2,4325 Boyd Ave,"Bronx, NY 10466",New York,Bronx County,The Bronx
Brokered by JABOUR REALTY COMPANY,House for sale,1450000,4,4,227 90th St,"Brooklyn, NY 11209",New York,Kings County,Brooklyn
Brokered by Diamond Real Inc,Condo for sale,1999999,3,3,70 Oceana Dr W Ph 1D,"Brooklyn, NY 11235",Kings County,Brooklyn,Brighton Beach
Brokered by Better Homes and Gardens Real Estate Safari Realty,House for sale,899888,4,2,467 Maine Ave,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by WRL Realty LLC,Co-op for sale,379000,2,1,78-16 Main St Unit 1K,"Flushing, NY 11367",Queens County,Queens,Flushing
"Brokered by Neuhaus Realty, Inc.",Multi-family home for sale,879000,4,2,11 Edgewood Rd,"Staten Island, NY 10308",New York,Richmond County,Staten Island
Brokered by Corcoran East Side,Co-op for sale,1030000,2,2,217 E 96th St Apt 29C,"New York, NY 10128",New York County,New York,Manhattan
Brokered by Redfin Real Estate,Co-op for sale,699999,1,2,11 W 81st St Unit 1C,"New York, NY 10024",New York County,New York,Manhattan
Brokered by EXP Realty,Co-op for sale,388000,2,1,67-66 108th St Units B & 65,"Forest Hills, NY 11375",New York,Queens County,Queens
Brokered by Brown Harris Stevens,Condo for sale,1750000,1,1,114 E 13th St Apt 3D,"Manhattan, NY 10003",New York County,New York,Manhattan
Brokered by Living NY - Main Office,Co-op for sale,995000,1,1,111 N 9th St Apt 2L,"Brooklyn, NY 11249",Kings County,Brooklyn,Williamsburg
Brokered by Guru Real Estate Services LLC,House for sale,599999,5,4,145-37 115th Ave,"Jamaica, NY 11436",New York,Queens County,Queens
Brokered by Brown Harris Stevens,Co-op for sale,300000,1,1,209 W 118th St Apt 2F,"Manhattan, NY 10026",New York County,New York,Manhattan
Brokered by Winzone Realty Inc,Co-op for sale,389000,1,1,44-10 Ketcham St Unit 5B,"Elmhurst, NY 11373",Queens County,Queens,Flushing
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,875000,1,2,750 Park Ave Apt 9B,"New York, NY 10021",New York County,New York,Manhattan
Brokered by COMPASS,Condo for sale,3000000,3,3,418 E 59th St # B,"Manhattan, NY 10022",New York,New York County,New York
Brokered by Morris Park Realty Group,Multi-family home for sale,850000,3,2,1626 Research Ave,"Bronx, NY 10465",New York,Bronx County,The Bronx
Brokered by Coldwell Banker Warburg,Townhouse for sale,3595000,5,4,549 W 149th St,"New York, NY 10031",New York,New York County,New York
Brokered by Realty Network Of N Y Corp,House for sale,925000,3,2,50-02 60th St,"Woodside, NY 11377",New York,Queens County,Queens
Brokered by Keystone Realty USA Corp,House for sale,799000,5,3,112-20 210th St,"Queens Village, NY 11429",New York,Queens County,Queens
Brokered by Prime Realty,Pending,1399000,4,2,35-12 213th St,"Bayside, NY 11361",New York,Queens County,Queens
Brokered by East Coast REALTORS Inc,House for sale,1880000,3,5,143-40 Poplar Ave,"Flushing, NY 11355",New York,Queens County,Queens
Brokered by COMPASS,Co-op for sale,375000,3,1,517 W 48th St Apt 2RW,"Manhattan, NY 10036",New York County,New York,Manhattan
Brokered by Remax Edge - RE/MAX EDGE,Co-op for sale,269000,1,1,130 Bay Ridge Pkwy Apt 4H,"Brooklyn, NY 11209",Kings County,Brooklyn,Bay Ridge
Brokered by Keller Williams Realty Greater Nassau,House for sale,4500000,6,4,147-21 14th Ave,"Whitestone, NY 11357",New York,Queens County,Queens
Brokered by Fave Realty Inc,House for sale,589000,3,2,1316 Dumont Ave,"Brooklyn, NY 11208",New York,Kings County,Brooklyn
Brokered by RE MAX Real Estate Professionals,Co-op for sale,239000,1,1,1720 E 13th St Apt 1C,"Brooklyn, NY 11229",Kings County,Brooklyn,Homecrest
Brokered by Century Homes Realty Group LLC,Co-op for sale,385000,1,1,35-40 82nd St Unit 2A,"Jackson Heights, NY 11372",Queens County,Queens,Flushing
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,1000000,1,1,18 W 48th St Apt 9C,"New York, NY 10036",New York County,New York,Manhattan
Brokered by COMPASS,Pending,2800000,5,4,232 Argyle Rd,"Brooklyn, NY 11218",New York,Kings County,Brooklyn
Brokered by All Area Brokerage Inc,Co-op for sale,130000,3,1,87-15 165th St Unit 4B,"Jamaica, NY 11432",Queens County,Queens,Jamaica
Brokered by DiTommaso Real Estate,Contingent,789888,4,2,600 Annadale Rd,"Staten Island, NY 10312",New York,Richmond County,Staten Island
Brokered by EXP Realty,House for sale,798000,3,2,58-13 Waldron St,"Corona, NY 11368",New York,Queens County,Queens
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,495000,1,1,54 E 1st St Apt 2C,"New York, NY 10003",New York County,New York,Manhattan
Brokered by B Square Realty,Condo for sale,555000,1,1,158-15 Union Tpke Unit 411N,"Fresh Meadows, NY 11366",Queens County,Queens,Flushing
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,1274000,3,2,111 E 36th St # 5AB,"New York, NY 10016",New York County,New York,Manhattan
Brokered by Prime Realty,Co-op for sale,349000,2,1,83-75 118 St Unit 2I,"Kew Gardens, NY 11415",Queens County,Queens,Jamaica
Brokered by Brown Harris Stevens - 129 Montague Street,Pending,1250000,1,1,17 W 10th St Apt 3N,"Manhattan, NY 10011",New York County,New York,Manhattan
Brokered by Brown Harris Stevens,Townhouse for sale,2495000,8,8,211 W 252nd St Unit Townhouse,"Bronx, NY 10471",New York,Bronx County,The Bronx
Brokered by Exp Realty,Co-op for sale,749900,3,1,51 W 106th St Apt 3D,"New York, NY 10025",New York County,New York,Manhattan
Brokered by Jm Properties,House for sale,1399900,4,4,292 Raritan Ave,"Staten Island, NY 10305",New York,Richmond County,Staten Island
"Brokered by KMS Realty Group, Inc.",Condo for sale,948888,2,2,115 96th St Apt 6A,"Brooklyn, NY 11209",Kings County,Brooklyn,Fort Hamilton
Brokered by Howard Hanna Coach Realtors - Williston Park,Pending,775000,4,2,92-19 241st St,"Bellerose, NY 11426",New York,Queens County,Queens
Brokered by American Dream Homes Realty Inc,House for sale,475000,3,2,912 Cranford Ave,"Bronx, NY 10466",New York,Bronx County,The Bronx
Brokered by COMPASS,Condo for sale,2595000,3,3,200 E 94th St Apt 2610,"Manhattan, NY 10128",New York County,New York,Manhattan
"Brokered by Robert Defalco Realty, Inc.",Multi-family home for sale,1199000,3,1,354 Buel Ave,"Staten Island, NY 10305",New York,Richmond County,Staten Island
Brokered by COMPASS,Condo for sale,750000,1,1,129 Meserole St Apt 3B,"Brooklyn, NY 11206",Kings County,Brooklyn,Southside
Brokered by E House Realty & Mgt. Inc.,Condo for sale,713000,2,2,217 Bay 49th St Unit 3A,"Brooklyn, NY 11214",New York,Kings County,Brooklyn
Brokered by Charles Rutenberg Realty Inc,Co-op for sale,300000,1,1,64-09 39 Ave Unit 1,"Woodside, NY 11377",Queens County,Queens,Woodside
Brokered by COMPASS,Co-op for sale,2695000,3,3,316 W 79th St Apt 7W,"Manhattan, NY 10024",New York County,New York,Manhattan
Brokered by Keller Williams Realty Liberty,Co-op for sale,450000,2,2,254-15 74 Ave Unit 1ST,"Glen Oaks, NY 11004",Queens County,Queens,Glen Oaks
Brokered by Corcoran West Side Gallery,Co-op for sale,699000,1,1,760 W End Ave Apt 6C,"New York, NY 10025",New York County,New York,Manhattan
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,10950000,8,8,350 W End Ave,"New York, NY 10024",New York,New York County,New York
Brokered by Daniel Gale Sotheby's International Realty,Co-op for sale,225000,1,1,269-10 Grand Central Pkwy Unit 9P,"Floral Park, NY 11005",New York,Queens County,Queens
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,5925000,3,4,30 Front St Unit 15A,"Brooklyn, NY 11201",Kings County,Brooklyn,Dumbo
Brokered by Signature Premier Properties,Co-op for sale,255000,1,1,245-18 62nd Ave Unit Upper,"Little Neck, NY 11362",New York,Queens County,Queens
Brokered by EXIT REALTY FIRST CHOICE,House for sale,2095000,4,4,166-21 Goethals Ave,"Jamaica, NY 11432",New York,Queens County,Queens
"Brokered by Nest Seekers International, Midtown",House for sale,10250000,7,6,1211 Park Ave,"New York, NY 10128",New York,New York County,New York
Brokered by Corcoran Brooklyn Heights,Co-op for sale,750000,1,1,200 Congress St Apt 5D,"Brooklyn, NY 11201",Kings County,Brooklyn,Cobble Hill
Brokered by Brown Harris Stevens,Townhouse for sale,2999000,9,8,1937 Madison Ave Unit Townhouse,"Manhattan, NY 10035",New York,New York County,New York
Brokered by RE MAX Edge,Co-op for sale,199000,3,1,207 Ocean Pkwy Ste 1H,"Brooklyn, NY 11218",Kings County,Brooklyn,Kensington
Brokered by E Realty International Corp,Multi-family home for sale,1250000,7,3,2528 West St,"Brooklyn, NY 11223",New York,Kings County,Brooklyn
Brokered by Brown Harris Stevens,Co-op for sale,2425000,2,2,50 E 10th St Apt 6B,"Manhattan, NY 10003",New York County,New York,Manhattan
Brokered by Houlihan Lawrence,Pending,205000,1,1,5921 Calloway St Apt 2U,"Corona, NY 11368",Queens County,Queens,Corona
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,2500000,5,6,870 United Nations Plaza Plz Units 37 & 38C,"Manhattan, NY 10017",New York,New York County,New York
Brokered by COMPASS,Co-op for sale,3499000,6,8,190 E 72nd St Units 23C & 24ABC,"Manhattan, NY 10021",New York,New York County,New York
Brokered by Brown Harris Stevens,Co-op for sale,649000,1,2,45 Sutton Pl S Apt 14G,"Manhattan, NY 10022",New York,New York County,New York
Brokered by Douglas Elliman - 1995 Broadway,Pending,729000,2,1,193 Bleecker St Apt 12B,"New York, NY 10012",New York County,New York,Manhattan
Brokered by Instahomes Realty LLC,Multi-family home for sale,998500,3,2,929 Rogers Ave,"Brooklyn, NY 11226",New York,Kings County,Brooklyn
